country,ses2,score,rank,year,survey
Albania,3.0,383.85839999998745,42.0,2000,PISA
Albania,3.0,386.94659999998777,43.0,2000,PISA
Albania,3.0,389.1899999999878,44.0,2000,PISA
Albania,3.0,391.55599999999026,45.0,2000,PISA
Albania,3.0,394.4985999999903,46.0,2000,PISA
Albania,3.0,399.85789999999037,47.0,2000,PISA
Albania,3.0,402.469999999993,48.0,2000,PISA
Albania,3.0,406.6379999999906,49.0,2000,PISA
Albania,3.0,411.0199999999895,50.0,2000,PISA
Albania,3.0,414.20999999999185,51.0,2000,PISA
Albania,3.0,415.89639999998906,52.0,2000,PISA
Albania,3.0,418.37239999999713,53.0,2000,PISA
Albania,3.0,420.9133999999939,54.0,2000,PISA
Albania,3.0,424.3794999999933,55.0,2000,PISA
Albania,3.0,426.549199999997,56.0,2000,PISA
Albania,3.0,431.42309999999316,57.0,2000,PISA
Albania,3.0,435.30119999999005,58.0,2000,PISA
Albania,3.0,438.15999999998894,59.0,2000,PISA
Albania,3.0,441.17799999999113,60.0,2000,PISA
Albania,3.0,443.3799999999901,61.0,2000,PISA
Albania,3.0,444.7399999999907,62.0,2000,PISA
Albania,3.0,446.4652999999879,63.0,2000,PISA
Albania,3.0,449.6659999999951,64.0,2000,PISA
Albania,3.0,453.8234999999935,65.0,2000,PISA
Albania,3.0,457.1457999999944,66.0,2000,PISA
Albania,3.0,460.5188999999933,67.0,2000,PISA
Albania,3.0,463.4799999999959,68.0,2000,PISA
Albania,3.0,465.54999999998836,69.0,2000,PISA
Albania,3.0,468.78499999998894,70.0,2000,PISA
Albania,3.0,471.38159999999624,71.0,2000,PISA
Albania,3.0,474.0059999999893,72.0,2000,PISA
Albania,3.0,476.02999999999884,73.0,2000,PISA
Albania,3.0,478.86379999998667,74.0,2000,PISA
Albania,3.0,482.0199999999968,75.0,2000,PISA
Albania,3.0,484.85399999998623,76.0,2000,PISA
Albania,3.0,487.65509999999404,77.0,2000,PISA
Albania,3.0,491.4063999999879,78.0,2000,PISA
Albania,3.0,495.35079999999607,79.0,2000,PISA
Albania,3.0,498.43399999999673,80.0,2000,PISA
Albania,3.0,503.7107999999919,81.0,2000,PISA
Albania,3.0,506.8597999999952,82.0,2000,PISA
Albania,3.0,509.43239999999645,83.0,2000,PISA
Albania,3.0,515.2399999999907,84.0,2000,PISA
Albania,3.0,519.0164999999964,85.0,2000,PISA
Albania,3.0,526.8605999999877,86.0,2000,PISA
Albania,3.0,530.3899999999849,87.0,2000,PISA
Albania,3.0,533.4763999999861,88.0,2000,PISA
Albania,3.0,540.0376999999888,89.0,2000,PISA
Albania,3.0,545.4249999999826,90.0,2000,PISA
Albania,3.0,550.4027999999779,91.0,2000,PISA
Albania,3.0,555.2331999999809,92.0,2000,PISA
Albania,3.0,564.1589999999815,93.0,2000,PISA
Albania,3.0,570.6423999999942,94.0,2000,PISA
Albania,3.0,577.0599999999977,95.0,2000,PISA
Albania,3.0,587.2919999999739,96.0,2000,PISA
Albania,3.0,597.9007999999952,97.0,2000,PISA
Albania,3.0,607.4165999999827,98.0,2000,PISA
Albania,3.0,623.8190999999865,99.0,2000,PISA
Albania,3.0,721.9599999999919,100.0,2000,PISA
Argentina,1.0,-4.039999999999964,0.0,2000,PISA
Argentina,1.0,105.71399999999969,1.0,2000,PISA
Argentina,1.0,141.57419999999473,2.0,2000,PISA
Argentina,1.0,151.5618999999979,3.0,2000,PISA
Argentina,1.0,168.0243999999939,4.0,2000,PISA
Argentina,1.0,176.99299999999675,5.0,2000,PISA
Argentina,1.0,182.89159999999407,6.0,2000,PISA
Argentina,1.0,195.88479999999524,7.0,2000,PISA
Argentina,1.0,204.01759999999484,8.0,2000,PISA
Argentina,1.0,214.9231999999949,9.0,2000,PISA
Argentina,1.0,224.44599999999846,10.0,2000,PISA
Argentina,1.0,230.86549999999835,11.0,2000,PISA
Argentina,1.0,236.76239999999495,12.0,2000,PISA
Argentina,1.0,240.48649999999594,13.0,2000,PISA
Argentina,1.0,243.90439999999566,14.0,2000,PISA
Argentina,1.0,250.72699999999566,15.0,2000,PISA
Argentina,1.0,256.67159999999626,16.0,2000,PISA
Argentina,1.0,262.6225999999873,17.0,2000,PISA
